#minQ maxQ frac[0-10] deriv[0-10] 
300 310 0 0 0 0.00114792 0.679634 0.225441 0.0608663 0.0208562 0.00771593 0.00298194 0 0 0 -0.00177879 -0.0164934 0.014158 0.00277719 0.000853789 0.00029943 0.000111371
310 320 0 0 0 0.00121641 0.680488 0.224725 0.0607262 0.0208132 0.00770084 0.00297633 0 0 0 -0.00185703 -0.0163471 0.0141002 0.0027698 0.00085191 0.000298818 0.000111154
320 330 0 0 0 0.00128276 0.681315 0.224033 0.0605905 0.0207715 0.00768623 0.00297089 0 0 0 -0.00193283 -0.0162054 0.0140442 0.00276264 0.00085009 0.000298225 0.000110944
330 340 0 0 0 0.0013471 0.682118 0.223361 0.060459 0.0207311 0.00767205 0.00296562 0 0 0 -0.00200633 -0.016068 0.0139899 0.00275569 0.000848325 0.00029765 0.00011074
340 350 0 0 0 0.00140955 0.682897 0.222708 0.0603313 0.0206918 0.00765829 0.0029605 0 0 0 -0.00207767 -0.0159346 0.0139371 0.00274895 0.000846611 0.000297091 0.000110542
350 360 0 0 0 0.00147021 0.683653 0.222075 0.0602072 0.0206537 0.00764493 0.00295553 0 0 0 -0.00214697 -0.015805 0.0138859 0.00274241 0.000844948 0.000296549 0.00011035
360 370 0 0 0 0.00152919 0.684389 0.221459 0.0600866 0.0206166 0.00763193 0.0029507 0 0 0 -0.00221435 -0.015679 0.0138361 0.00273604 0.00084333 0.000296022 0.000110163
370 380 0 0 0 0.00158657 0.685105 0.22086 0.0599692 0.0205806 0.00761929 0.002946 0 0 0 -0.0022799 -0.0155565 0.0137877 0.00272985 0.000841755 0.000295509 0.000109981
380 390 0 0 0 0.00164244 0.685801 0.220276 0.059855 0.0205455 0.00760698 0.00294142 0 0 0 -0.00234373 -0.0154371 0.0137405 0.00272382 0.000840222 0.000295009 0.000109804
390 400 0 0 0 0.00169688 0.68648 0.219708 0.0597437 0.0205113 0.00759499 0.00293696 0 0 0 -0.00240592 -0.0153208 0.0136945 0.00271794 0.00083873 0.000294523 0.000109631
400 410 0 0 0 0.00182981 0.687013 0.219195 0.0596406 0.0204793 0.00758375 0.00293277 0 0 0 -0.00251334 -0.015165 0.0136537 0.00271256 0.000837341 0.000294068 0.00010947
410 420 0 0 0 0.0019608 0.68753 0.218696 0.0595401 0.0204482 0.00757279 0.00292869 0 0 0 -0.00261891 -0.0150123 0.0136138 0.00270732 0.000835987 0.000293624 0.000109312
420 430 0 0 0 0.00208868 0.688035 0.218209 0.059442 0.0204178 0.0075621 0.0029247 0 0 0 -0.00272196 -0.0148633 0.013575 0.00270221 0.000834663 0.000293191 0.000109158
430 440 0 0 0 0.00221358 0.688529 0.217733 0.0593462 0.0203881 0.00755165 0.00292081 0 0 0 -0.00282262 -0.0147177 0.013537 0.00269721 0.000833373 0.000292768 0.000109008
440 450 0 0 0 0.00233564 0.689011 0.217268 0.0592525 0.020359 0.00754144 0.00291701 0 0 0 -0.00292099 -0.0145755 0.0134999 0.00269233 0.00083211 0.000292355 0.000108861
450 460 0 0 0 0.00245499 0.689482 0.216814 0.059161 0.0203306 0.00753146 0.00291329 0 0 0 -0.00301717 -0.0144364 0.0134636 0.00268756 0.000830876 0.000291951 0.000108717
460 470 0 0 0 0.00257175 0.689944 0.216369 0.0590714 0.0203029 0.0075217 0.00290965 0 0 0 -0.00311127 -0.0143003 0.0134281 0.00268289 0.000829669 0.000291555 0.000108577
470 480 0 0 0 0.00268602 0.690395 0.215933 0.0589837 0.0202757 0.00751214 0.00290609 0 0 0 -0.00320336 -0.0141671 0.0133934 0.00267832 0.000828488 0.000291168 0.000108439
480 490 0 0 0 0.00279791 0.690837 0.215507 0.0588979 0.0202491 0.00750278 0.0029026 0 0 0 -0.00329353 -0.0140367 0.0133594 0.00267385 0.00082733 0.00029079 0.000108304
490 500 0 0 0 0.00290752 0.69127 0.215089 0.0588138 0.020223 0.00749361 0.00289919 0 0 0 -0.00338186 -0.0139089 0.0133261 0.00266946 0.000826197 0.000290419 0.000108173
500 510 0 0 0 0.00301493 0.691694 0.21468 0.0587314 0.0201975 0.00748463 0.00289584 0 0 0 -0.00346842 -0.0137837 0.0132934 0.00266517 0.000825087 0.000290055 0.000108043
510 520 0 0 0 0.00312024 0.69211 0.214279 0.0586506 0.0201724 0.00747582 0.00289256 0 0 0 -0.00355329 -0.013661 0.0132614 0.00266096 0.000823997 0.000289698 0.000107917
520 530 0 0 0 0.00322353 0.692518 0.213885 0.0585714 0.0201479 0.00746718 0.00288934 0 0 0 -0.00363653 -0.0135406 0.01323 0.00265683 0.00082293 0.000289348 0.000107792
530 540 0 0 0 0.00332486 0.692918 0.213499 0.0584936 0.0201238 0.00745871 0.00288618 0 0 0 -0.00371819 -0.0134225 0.0131992 0.00265278 0.000821881 0.000289005 0.00010767
540 550 0 0 0 0.00342432 0.693311 0.21312 0.0584174 0.0201001 0.00745039 0.00288308 0 0 0 -0.00379834 -0.0133066 0.013169 0.0026488 0.000820853 0.000288669 0.000107551
550 560 0 0 0 0.00352197 0.693697 0.212748 0.0583424 0.0200769 0.00744222 0.00288004 0 0 0 -0.00387704 -0.0131927 0.0131393 0.00264489 0.000819843 0.000288338 0.000107433
560 570 0 0 0 0.00361787 0.694076 0.212383 0.0582689 0.0200541 0.0074342 0.00287705 0 0 0 -0.00395432 -0.013081 0.0131101 0.00264106 0.000818852 0.000288013 0.000107318
570 580 0 0 0 0.00371209 0.694448 0.212024 0.0581966 0.0200317 0.00742632 0.00287412 0 0 0 -0.00403026 -0.0129712 0.0130815 0.00263729 0.000817878 0.000287694 0.000107204
580 590 0 0 0 0.00380469 0.694814 0.211671 0.0581256 0.0200097 0.00741858 0.00287123 0 0 0 -0.00410488 -0.0128632 0.0130533 0.00263358 0.00081692 0.000287381 0.000107093
590 600 0 0 0 0.00389572 0.695173 0.211324 0.0580557 0.019988 0.00741096 0.00286839 0 0 0 -0.00417824 -0.0127572 0.0130257 0.00262995 0.000815979 0.000287072 0.000106983
